"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 09 14:30:32 EET 2020","Wed Dec 09 14:30:42 EET 2020","9957","","tests.YandexTest","","tests.YandexTest","yandexTest","yandexTest()",""
"broken","Wed Dec 09 13:58:14 EET 2020","Wed Dec 09 13:58:34 EET 2020","19218","","tests.StudentRegistrationFormTests","","tests.StudentRegistrationFormTests","successfulFillFormTest","Successful fill registration form",""
